Date,Measurement tool,Site,1,2,3,4,5,6,7,8,9,Max Etch Rate,Min Etch Rate,Etch Rate (A/Min),"%
STDEV",% Uni,Result, Employee Code,Lot ID,Remarks,LSL,USL,LCL,UCL,% Uni USL,% Uni UCL
01-01-17,MTOP1,Pre,29139.66,28999.74,29013.95,29011.01,29225.67,29214.79,29005.85,29002.26,29234.97,9513.12,8462.76,9029.75,340.7021608,3.773107349,Fail,1400,Q17010001.F1,,9000,15600,8090,12070,6,6
,,Post,26260.14,26025.23,26015.61,25926.85,26111.56,26393.87,26039.01,25922.45,26063.93,,,,,,,,,,,,,,,
,,ER(Å/Min),8638.56,8923.53,8995.02,9252.48,9342.33,8462.76,8900.52,9239.43,9513.12,,,,,,,,,,,,,,,
01-06-17,MTOP1,Pre,29171.19,29014.37,29060.21,29027.24,29282.08,29171.64,29005.71,29022.99,29204.96,10018.32,8862.39,9436.903333,369.2094275,3.912400228,Fail,1335,,,9000,15600,8090,12070,6,6
,,Post,26190.23,25899.52,25911.75,25807.09,26058.01,26217.51,25898.21,25801.84,25865.52,,,,,,,,,,,,,,,
,,ER(Å/Min),8942.88,9344.55,9445.38,9660.45,9672.21,8862.39,9322.5,9663.45,10018.32,,,,,,,,,,,,,,,
01-10-17,MTOP1,Pre,29014.55,29005.58,29045.9,29002.93,29140.65,29078.17,28991.41,29012.01,29253.56,9641.79,8529.21,9092.38,324.4099903,3.567932601,Fail,1159,Q17020037.F1,,9000,15600,8090,12070,6,6
,,Post,26018.37,26006.88,26036.61,25916.44,25926.72,26235.1,26056.55,25936.2,26134.75,,,,,,,,,,,,,,,
,,ER(Å/Min),8988.54,8996.1,9027.87,9259.47,9641.79,8529.21,8804.58,9227.43,9356.43,,,,,,,,,,,,,,,
01/24/2017,MTOP1,Pre,29013.18,28825.84,28855,28805.79,29006.81,28950.55,28803.73,28805.76,29049.27,10267.74,9212.04,9830.913333,323.2857319,3.288460807,Pass,1159,Q17040020.F1, QC After Facility Shutdown,9000,15600,8090,12070,6,6
,,Post,25850.22,25550.26,25565.58,25450.93,25676.98,25879.87,25567.7,25454.96,25626.69,,,,,,,,,,,,,,,
,,ER(Å/Min),9488.88,9826.74,9868.26,10064.58,9989.49,9212.04,9708.09,10052.4,10267.74,,,,,,,,,,,,,,,
01/29/2017,MTOP1,Pre,28985.36,28807.67,28811.86,28809.67,29048.4,28966.72,28802.05,28810.96,29050.41,10430.34,9330.21,9934.553333,334.4325678,3.366357365,Pass,1400,Q17050001.F1,,9000,15600,8090,12070,6,6
,,Post,25806.43,25506.43,25479.46,25431.52,25692.88,25856.65,25521.07,25421.37,25573.63,,,,,,,,,,,,,,,
,,ER(Å/Min),9536.79,9903.72,9997.2,10134.45,10066.56,9330.21,9842.94,10168.77,10430.34,,,,,,,,,,,,,,,
02-02-17,MTOP1,Pre,29002.46,28805.75,28796.68,28798.51,29024.71,28954.72,28800.84,28786.27,28976.38,9645.99,8739.78,9254.093333,308.1213183,3.32956787,Fail,1159,Q17050046.F1,,9000,15600,8090,12070,6,6
,,Post,26089.2,25737.01,25703.94,25635.64,25884.7,26018.76,25730.39,25623.35,25761.05,,,,,,,,,,,,,,,
,,ER(Å/Min),8739.78,9206.22,9278.22,9488.61,9420.03,8807.88,9211.35,9488.76,9645.99,,,,,,,,,,,,,,,
02-06-17,MTOP1,Pre,28899.98,28756.41,28767.59,28766.66,28964.35,28933.23,28759.27,28758.19,29011.58,9675.36,8721.51,9305.443333,328.2651257,3.527667774,Fail,,Q17060021.F1,,9000,15600,8090,12070,6,6
,,Post,25944.59,25673.07,25641.62,25579.62,25778.27,26026.06,25686.45,25584.79,25786.46,,,,,,,,,,,,,,,
,,ER(Å/Min),8866.17,9250.02,9377.91,9561.12,9558.24,8721.51,9218.46,9520.2,9675.36,,,,,,,,,,,,,,,
02/13/2017,MTOP1,Pre,29075.34,28897.16,28929.34,28873.04,29150.37,29014.98,28836.9,28888.5,29063.14,8288.22,7196.7,7753.026667,340.5697728,4.392733154,Fail,1335,,,9000,15600,8090,12070,6,6
,,Post,26573.64,26363.21,26317.2,26203.46,26495.9,26616.08,26356.66,26243.14,26300.4,,,,,,,,,,,,,,,
,,ER(Å/Min),7505.1,7601.85,7836.42,8008.74,7963.41,7196.7,7440.72,7936.08,8288.22,,,,,,,,,,,,,,,
02/13/2017,MTOP1,Pre,29096.56,28907.85,28901.14,28900.85,29094.96,29069.41,28888.59,28895.56,29145.08,9563.79,8561.13,9168.8,323.1380559,3.524322222,Fail,1335,,< 9000; Run 1,9000,15600,8090,12070,6,6
,,Post,26145.09,25859.86,25849.32,25773.92,25930.18,26215.7,25885.02,25777.36,25957.15,,,,,,,,,,,,,,,
,,ER(Å/Min),8854.41,9143.97,9155.46,9380.79,9494.34,8561.13,9010.71,9354.6,9563.79,,,,,,,,,,,,,,,
02/13/2017,MTOP1,Pre,29064.47,28900.63,28907.39,28910.24,29062.95,29071.94,28899.57,28900.75,29170.68,13906.47,11084.76,12445.99333,813.1502958,6.53343027,Fail,1400,,Lamp Intensity reduced run 2,9000,15600,8090,12070,6,6
,,Post,25209.4,24818,24703.05,24637,24427.46,25377.02,24838.24,24654.84,24885.63,,,,,,,,,,,,,,,
,,ER(Å/Min),11565.21,12247.89,12613.02,12819.72,13906.47,11084.76,12183.99,12737.73,12855.15,,,,,,,,,,,,,,,
02/13/2017,MTOP1,Pre,28760.73,28732.15,28725.61,28708.58,28786.09,28929.84,28738.45,28720.48,28976.36,11845.44,10537.95,11349.42,407.9317595,3.594296091,Pass,,,Lamp Intensity reduced run 3; OK,9000,15600,8090,12070,6,6
,,Post,24902.17,25018.76,24990.88,24774.73,24990,25417.19,25039.07,24869.35,25027.88,,,,,,,,,,,,,,,
,,ER(Å/Min),11575.68,11140.17,11204.19,11801.55,11388.27,10537.95,11098.14,11553.39,11845.44,,,,,,,,,,,,,,,
02/15/2017,MTOP1,Pre,28896.43,28740.88,28763.86,28733.53,28963.76,28848.48,28724.44,28736.32,28942.98,12276.06,9636.93,10433.53667,746.5990429,7.155761912,Fail,1400,,,9000,15600,8090,12070,6,6
,,Post,25600.6,25316.26,25263.22,25258.68,25534.41,25636.17,25340.55,25249.22,24850.96,,,,,,,,,,,,,,,
,,ER(Å/Min),9887.49,10273.86,10501.92,10424.55,10288.05,9636.93,10151.67,10461.3,12276.06,,,,,,,,,,,,,,,
02/17/2017,MTOP1,Pre,28924.11,28760.6,28747.59,28751.79,28965.52,28903.1,28734.47,28762.13,28996.61,9712.02,8800.92,9218.08,285.4709133,3.096858709,Fail,1335,Q17070057.F1,After Lamp 7 replaced & reduced the current.,9000,15600,8090,12070,6,6
,,Post,25970.48,25703.36,25708.12,25629.42,25838.5,25969.46,25689.23,25623.84,25759.27,,,,,,,,,,,,,,,
,,ER(Å/Min),8860.89,9171.72,9118.41,9367.11,9381.06,8800.92,9135.72,9414.87,9712.02,,,,,,,,,,,,,,,
02/22/2017,MTOP1,Pre,29331.14,29201.58,29270.26,29206.95,29445.13,29361.9,29207.16,29194.45,29451.98,12070.29,11189.43,11647.60667,262.1995075,2.251102007,Pass,1400,Q17080049.F1,,9000,15600,8090,12070,6,6
,,Post,25553.72,25318.59,25371.17,25268.9,25570.35,25632.09,25330.99,25253.37,25428.55,,,,,,,,,,,,,,,
,,ER(Å/Min),11332.26,11648.97,11697.27,11814.15,11624.34,11189.43,11628.51,11823.24,12070.29,,,,,,,,,,,,,,,
02/27/2017,MTOP1,Pre,29285.1,29132.21,29121.85,29137.64,29371.39,29290.45,29127.55,29147.09,29377.63,11972.04,11019.42,11540.00667,299.3213082,2.59377067,Pass,1400,Q17090010.F1,,9000,15600,8090,12070,6,6
,,Post,25575.56,25285.28,25244.57,25231.94,25518.36,25617.31,25284.7,25226.22,25386.95,,,,,,,,,,,,,,,
,,ER(Å/Min),11128.62,11540.79,11631.84,11717.1,11559.09,11019.42,11528.55,11762.61,11972.04,,,,,,,,,,,,,,,
03-06-17,MTOP1,Pre,29248.17,29070.96,29068.07,29093.22,29298.87,29252.37,29080.47,29063.18,29307.38,9865.47,9190.86,9611.97,230.1599311,2.394513623,Pass,1400,Q17100015.F1,,9000,15600,8090,12070,6,6
,,Post,26184.55,25887.78,25870.95,25823.51,26032.97,26147.87,25858.21,25822.05,26018.89,,,,,,,,,,,,,,,
,,ER(Å/Min),9190.86,9549.54,9591.36,9809.13,9797.7,9313.5,9666.78,9723.39,9865.47,,,,,,,,,,,,,,,
03-10-17,MTOP1,Pre,29242.62,29032.74,28918.38,29039.69,29223.99,29238.21,29056.69,29032.36,29207.03,10984.29,10132.14,10589.26333,315.2215671,2.976803553,Pass,1400,Q17100066.F1,,9000,15600,8090,12070,6,6
,,Post,25811.26,25530.76,25541,25423.19,25633.94,25837.21,25488.24,25412.72,25545.6,,,,,,,,,,,,,,,
,,ER(Å/Min),10294.08,10505.94,10132.14,10849.5,10770.15,10203,10705.35,10858.92,10984.29,,,,,,,,,,,,,,,
03/20/2017,MTOP1,Pre,29105.15,28931.84,28942.04,28945.97,29165.45,29120.37,28942.56,28935.86,29160.74,11036.07,10183.65,10628.20333,281.5134718,2.648739989,Pass,1428,Q17120011.F1,,9000,15600,8090,12070,6,6
,,Post,25706.65,25401,25388.48,25341.28,25579.95,25725.82,25404.06,25336.08,25482.05,,,,,,,,,,,,,,,
,,ER(Å/Min),10195.5,10592.52,10660.68,10814.07,10756.5,10183.65,10615.5,10799.34,11036.07,,,,,,,,,,,,,,,
04-05-17,MTOP1,Pre,28978.5,28855.88,28890.4,28851.59,29061.88,28980.73,28839.39,28855.33,29114.86,10503.66,9493.92,10062.83333,296.1224994,2.942734811,Pass,1335,,,9000,15600,8090,12070,6,6
,,Post,25709.17,25509.1,25545.99,25457.73,25624.78,25816.09,25520.39,25443.17,25613.64,,,,,,,,,,,,,,,
,,ER(Å/Min),9807.99,10040.34,10033.23,10181.58,10311.3,9493.92,9957,10236.48,10503.66,,,,,,,,,,,,,,,
04-10-17,MTOP1,Pre,29067.41,28872.28,28848.33,28854.53,29068.71,29020.13,28857.23,28861.98,29065.16,10619.76,9738.96,10189.31,275.821058,2.706965025,Pass,1400,Q17150013.F1,,9000,15600,8090,12070,6,6
,,Post,25794.62,25484.33,25456.34,25398.89,25663.79,25773.81,25459.72,25391.09,25525.24,,,,,,,,,,,,,,,
,,ER(Å/Min),9818.37,10163.85,10175.97,10366.92,10214.76,9738.96,10192.53,10412.67,10619.76,,,,,,,,,,,,,,,
